                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0996,                0.71769,                 1.0385,                0.67486,                0.74355,                0.73998,                0.47887,                  1.214,                0.92043,                 1.1432,              0.0011114,              0.0011114,              0.0011114
                     58,                 1.0933,                0.70927,                 1.0394,                0.72985,                0.70967,                0.74825,                0.49097,                 1.1898,                0.72866,                 1.1337,              0.0011089,              0.0011089,              0.0011089
                     59,                 1.0838,                0.70655,                 1.0391,                 0.7327,                0.69821,                0.74066,                0.48106,                 1.2284,                 0.7663,                 1.1462,              0.0011065,              0.0011065,              0.0011065
                     60,                 1.0848,                0.70076,                 1.0348,                0.71471,                0.71343,                0.73574,                0.47045,                 1.2319,                0.76767,                 1.1551,               0.001104,               0.001104,               0.001104
                     61,                 1.0811,                0.69827,                 1.0425,                0.74946,                0.70607,                0.76004,                0.48518,                 1.2112,                0.76611,                 1.1445,              0.0011015,              0.0011015,              0.0011015
                     62,                 1.0751,                0.68836,                 1.0298,                0.77268,                0.68954,                0.74249,                0.47659,                  1.208,                0.77471,                 1.1442,               0.001099,               0.001099,               0.001099
                     63,                 1.0751,                 0.6945,                  1.036,                0.73901,                0.74701,                0.75824,                0.48456,                 1.2029,                0.75186,                  1.129,              0.0010965,              0.0010965,              0.0010965
                     64,                 1.0599,                0.68721,                 1.0246,                0.67786,                0.76277,                0.73424,                 0.4872,                 1.2073,                0.75768,                 1.1442,              0.0010941,              0.0010941,              0.0010941
                     65,                 1.0619,                0.68764,                 1.0206,                0.73521,                  0.727,                 0.7433,                0.47905,                  1.203,                0.73694,                 1.1363,              0.0010916,              0.0010916,              0.0010916
                     66,                   1.08,                0.68781,                 1.0307,                0.68037,                0.77041,                0.73289,                0.48176,                 1.2071,                0.77189,                 1.1386,              0.0010891,              0.0010891,              0.0010891
                     67,                 1.0657,                0.67377,                 1.0276,                 0.7596,                0.75327,                0.78473,                 0.5277,                 1.1693,                0.74429,                 1.1183,              0.0010866,              0.0010866,              0.0010866
